"OIL_VISC FILE"
"Oil_lab_num","Viscsty_temp (C)","Viscsty_abslt (mPa-S)","Viscsty_kinmtc (mm2/S)"
"9090-52136-18-3","25",".801","1.081"
"9090-52136-18-3","","",""
"9090-52136-18-3","","",""
"9090-52136-18-3","","",""
"9091-52136-18-3","20","1.14","1.51"
"9091-52136-18-3","30",".99","1.325"
"9091-52136-18-3","40",".847","1.145"
"9091-52136-18-3","","",""
"9091-52136-18-3","","",""
"9091-52136-18-3","","",""
"9095-52136-16-3","20",".642",".867"
"9095-52136-16-3","35",".525",".722"
"9095-52136-16-3","40",".493",".681"
"9095-52136-16-3","","",""
"9095-52136-16-3","","",""
"9095-52136-16-3","","",""
"9096-52136-16-3","20",".758","1.011"
"9096-52136-16-3","30",".679",".912"
"9096-52136-16-3","40",".597",".811"
"9096-52136-16-3","","",""
"9096-52136-16-3","","",""
"9096-52136-16-3","","",""
"9100-52136-18-11","20","1.154","1.512"
"9100-52136-18-11","30",".98","1.298"
"9100-52136-18-11","40",".833","1.115"
"9100-52136-18-11","","",""
"9100-52136-18-11","","",""
"9100-52136-18-11","","",""
"9100-52136-18-15","20","1.116","1.465"
"9100-52136-18-15","30",".93","1.234"
"9100-52136-18-15","40",".796","1.066"
"9100-52136-18-15","","",""
"9100-52136-18-15","","",""
"9100-52136-18-15","","",""
"9100-52136-18-3","20","1.109","1.456"
"9100-52136-18-3","30",".948","1.258"
"9100-52136-18-3","40",".81","1.086"
"9100-52136-18-3","","",""
"9100-52136-18-3","","",""
"9100-52136-18-3","","",""
"9101-52136-16-3","10",".498",".684"
"9101-52136-16-3","20",".428",".595"
"9101-52136-16-3","30",".361",".51"
"9101-52136-16-3","","",""
"9101-52136-16-3","","",""
"9101-52136-16-3","","",""
"9101-52136-17-3","20","1.373","1.789"
"9101-52136-17-3","25","1.267","1.659"
"9101-52136-17-3","30","1.17","1.54"
"9101-52136-17-3","","",""
"9101-52136-17-3","","",""
"9101-52136-17-3","","",""
"9102-52136-16-3","20",".431",".599"
"9102-52136-16-3","30",".39",".548"
"9102-52136-16-3","40",".36",".509"
"9102-52136-16-3","","",""
"9102-52136-16-3","","",""
"9102-52136-16-3","","",""
"9106-52136-14-18","","",""
"9106-52136-14-18","","",""
"9106-52136-14-18","","",""
"9106-52136-14-18","","",""
"9106-52136-14-18","","",""
"9106-52136-14-18","","",""
"9106-52136-14-2","","",""
"9106-52136-14-2","","",""
"9106-52136-14-2","","",""
"9106-52136-14-2","","",""
"9106-52136-14-2","","",""
"9106-52136-14-2","","",""
"9106-52136-14-20","","",""
"9106-52136-14-20","","",""
"9106-52136-14-20","","",""
"9106-52136-14-20","","",""
"9106-52136-14-20","","",""
"9106-52136-14-20","","",""
"9106-52136-14-3","","",""
"9106-52136-14-3","","",""
"9106-52136-14-3","","",""
"9106-52136-14-3","","",""
"9106-52136-14-3","","",""
"9106-52136-14-3","","",""
"9106-52136-18-3","20","1.498","1.94"
"9106-52136-18-3","30","1.256","1.645"
"9106-52136-18-3","40","1.092","1.607"
"9106-52136-18-3","","",""
"9106-52136-18-3","","",""
"9106-52136-18-3","","",""
"9106-52136-18-7","20","1.588","2.055"
"9106-52136-18-7","30","1.31","1.718"
"9106-52136-18-7","40","1.148","1.739"
"9106-52136-18-7","","",""
"9106-52136-18-7","","",""
"9106-52136-18-7","","",""
"9116-52136-18-3","20","1.722","2.212"
"9116-52136-18-3","30","1.397","1.812"
"9116-52136-18-3","40","1.191","1.56"
"9116-52136-18-3","","",""
"9116-52136-18-3","","",""
"9116-52136-18-3","","",""
"9116-52136-18-7","15","1.881","2.413"
"9116-52136-18-7","30","1.367","1.779"
"9116-52136-18-7","40","1.17","1.538"
"9116-52136-18-7","","",""
"9116-52136-18-7","","",""
"9116-52136-18-7","","",""
"9148-52136-19-2","20","2.575","3.161"
"9148-52136-19-2","30","2.092","2.591"
"9148-52136-19-2","35","1.899","2.365"
"9148-52136-19-2","","",""
"9148-52136-19-2","","",""
"9148-52136-19-2","","",""
"9154-52136-16-3","15",".359",".517"
"9154-52136-16-3","25",".302",".44"
"9154-52136-16-3","35",".263",".385"
"9154-52136-16-3","","",""
"9154-52136-16-3","","",""
"9154-52136-16-3","","",""
"9157-52136-16-3","10",".593",".808"
"9157-52136-16-3","15",".562",".768"
"9157-52136-16-3","25",".502",".695"
"9157-52136-16-3","","",""
"9157-52136-16-3","","",""
"9157-52136-16-3","","",""
"9158-52136-14-3","20","2.818","3.514"
"9158-52136-14-3","30","2.175","2.74"
"9158-52136-14-3","35","1.982","2.511"
"9158-52136-14-3","","",""
"9158-52136-14-3","","",""
"9158-52136-14-3","","",""
"9160-52136-17-15","10",".838","1.126"
"9160-52136-17-15","20",".74","1.005"
"9160-52136-17-15","30",".655",".899"
"9160-52136-17-15","","",""
"9160-52136-17-15","","",""
"9160-52136-17-15","","",""
"9160-52136-17-7","20",".801","1.081"
"9160-52136-17-7","30",".705",".962"
"9160-52136-17-7","40",".611",".843"
"9160-52136-17-7","","",""
"9160-52136-17-7","","",""
"9160-52136-17-7","","",""
"9162-52136-14-3","15","2.806","3.489"
"9162-52136-14-3","20","2.494","3.115"
"9162-52136-14-3","30","1.996","2.517"
"9162-52136-14-3","","",""
"9162-52136-14-3","","",""
"9162-52136-14-3","","",""
"9165-52136-14-3","20","2.608","3.254"
"9165-52136-14-3","30","2.119","2.674"
"9165-52136-14-3","40","1.72","2.189"
"9165-52136-14-3","","",""
"9165-52136-14-3","","",""
"9165-52136-14-3","","",""
"9167-52136-14-3","20","2.566","3.197"
"9167-52136-14-3","30","2.069","2.608"
"9167-52136-14-3","40","1.735","2.205"
"9167-52136-14-3","","",""
"9167-52136-14-3","","",""
"9167-52136-14-3","","",""
"9188-52136-17-11","20","2.555","3.212"
"9188-52136-17-11","30","2.088","2.649"
"9188-52136-17-11","40","1.652","2.116"
"9188-52136-17-11","","",""
"9188-52136-17-11","","",""
"9188-52136-17-11","","",""
"9188-52136-17-15","20","2.658","3.335"
"9188-52136-17-15","30","2.159","2.734"
"9188-52136-17-15","40","1.769","2.261"
"9188-52136-17-15","","",""
"9188-52136-17-15","","",""
"9188-52136-17-15","","",""
"9188-52136-17-3","20","2.842","3.558"
"9188-52136-17-3","30","2.308","2.916"
"9188-52136-17-3","40","1.879","2.396"
"9188-52136-17-3","","",""
"9188-52136-17-3","","",""
"9188-52136-17-3","","",""
"9188-52136-17-7","20","2.667","3.352"
"9188-52136-17-7","30","2.117","2.687"
"9188-52136-17-7","40","1.72","2.204"
"9188-52136-17-7","","",""
"9188-52136-17-7","","",""
"9188-52136-17-7","","",""
"9191-52136-17-11","20","2.761","3.457"
"9191-52136-17-11","30","2.239","2.83"
"9191-52136-17-11","40","1.835","2.341"
"9191-52136-17-11","","",""
"9191-52136-17-11","","",""
"9191-52136-17-11","","",""
"9191-52136-17-15","20","2.776","3.481"
"9191-52136-17-15","30","2.265","2.867"
"9191-52136-17-15","40","1.767","2.236"
"9191-52136-17-15","","",""
"9191-52136-17-15","","",""
"9191-52136-17-15","","",""
"9191-52136-17-3","20","2.652","3.324"
"9191-52136-17-3","30","2.142","2.71"
"9191-52136-17-3","40","1.74","2.222"
"9191-52136-17-3","","",""
"9191-52136-17-3","","",""
"9191-52136-17-3","","",""
"9191-52136-17-7","20","2.647","3.297"
"9191-52136-17-7","30","2.154","2.707"
"9191-52136-17-7","40","1.765","2.24"
"9191-52136-17-7","","",""
"9191-52136-17-7","","",""
"9191-52136-17-7","","",""
"9196-52136-12-1","30","7.613","8.949"
"9196-52136-12-1","40","5.822","6.901"
"9196-52136-12-1","50","4.49","5.367"
"9196-52136-12-1","","",""
"9196-52136-12-1","","",""
"9196-52136-12-1","","",""
"9196-52136-17-3","20","2.989","3.729"
"9196-52136-17-3","30","2.418","3.044"
"9196-52136-17-3","40","1.974","2.508"
"9196-52136-17-3","","",""
"9196-52136-17-3","","",""
"9196-52136-17-3","","",""
"9200-52136-14-15","20",".891","1.164"
"9200-52136-14-15","30",".772","1.02"
"9200-52136-14-15","40",".67",".896"
"9200-52136-14-15","","",""
"9200-52136-14-15","","",""
"9200-52136-14-15","","",""
"9200-52136-14-18","10",".872","1.145"
"9200-52136-14-18","20",".769","1.021"
"9200-52136-14-18","30",".675",".905"
"9200-52136-14-18","","",""
"9200-52136-14-18","","",""
"9200-52136-14-18","","",""
"9200-52136-14-7","20",".959","1.246"
"9200-52136-14-7","30",".83","1.089"
"9200-52136-14-7","40",".72",".955"
"9200-52136-14-7","","",""
"9200-52136-14-7","","",""
"9200-52136-14-7","","",""
"9204-52136-17-3","15",".765","1.031"
"9204-52136-17-3","20",".717",".972"
"9204-52136-17-3","25",".674",".918"
"9204-52136-17-3","","",""
"9204-52136-17-3","","",""
"9204-52136-17-3","","",""
"9205-52136-16-3","10",".472",".653"
"9205-52136-16-3","20",".39",".549"
"9205-52136-16-3","30",".322",".457"
"9205-52136-16-3","","",""
"9205-52136-16-3","","",""
"9205-52136-16-3","","",""
"9205-52136-17-3","20",".744","1.005"
"9205-52136-17-3","30",".651",".89"
"9205-52136-17-3","40",".588",".812"
"9205-52136-17-3","","",""
"9205-52136-17-3","","",""
"9205-52136-17-3","","",""
"9206-52136-17-3","20",".822","1.101"
"9206-52136-17-3","30",".719",".973"
"9206-52136-17-3","40",".629",".861"
"9206-52136-17-3","","",""
"9206-52136-17-3","","",""
"9206-52136-17-3","","",""
"9208-52136-17-3","10",".837","1.133"
"9208-52136-17-3","15",".783","1.057"
"9208-52136-17-3","20",".735",".999"
"9208-52136-17-3","","",""
"9208-52136-17-3","","",""
"9208-52136-17-3","","",""
"9209-52136-17-3","15",".936","1.251"
"9209-52136-17-3","20",".872","1.173"
"9209-52136-17-3","25",".812","1.097"
"9209-52136-17-3","","",""
"9209-52136-17-3","","",""
"9209-52136-17-3","","",""
"9214-52136-16-3","20","1.593","2.051"
"9214-52136-16-3","30","1.334","1.775"
"9214-52136-16-3","35","1.23","1.661"
"9214-52136-16-3","","",""
"9214-52136-16-3","","",""
"9214-52136-16-3","","",""
"9215-52136-15-13","20","1.667","2.14"
"9215-52136-15-13","30","1.38","1.788"
"9215-52136-15-13","35","1.251","1.629"
"9215-52136-15-13","","",""
"9215-52136-15-13","","",""
"9215-52136-15-13","","",""
"9215-52136-15-3","20","1.619","2.075"
"9215-52136-15-3","30","1.264","1.644"
"9215-52136-15-3","35","1.138","1.486"
"9215-52136-15-3","","",""
"9215-52136-15-3","","",""
"9215-52136-15-3","","",""
"9217-52136-15-7","20","1.765","2.253"
"9217-52136-15-7","30","1.449","1.866"
"9217-52136-15-7","35","1.312","1.699"
"9217-52136-15-7","","",""
"9217-52136-15-7","","",""
"9217-52136-15-7","","",""
"9217-52136-18-11","20","2.148","2.712"
"9217-52136-18-11","30","1.785","2.285"
"9217-52136-18-11","40","1.498","1.937"
"9217-52136-18-11","","",""
"9217-52136-18-11","","",""
"9217-52136-18-11","","",""
"9217-52136-18-2","20","2.187","2.775"
"9217-52136-18-2","25","1.968","2.536"
"9217-52136-18-2","30","1.789","2.374"
"9217-52136-18-2","","",""
"9217-52136-18-2","","",""
"9217-52136-18-2","","",""
"9217-52136-18-5","20","2.132","2.706"
"9217-52136-18-5","30","1.726","2.212"
"9217-52136-18-5","40","1.39","1.826"
"9217-52136-18-5","","",""
"9217-52136-18-5","","",""
"9217-52136-18-5","","",""
"9217-52136-18-8","20","2.095","2.663"
"9217-52136-18-8","25","1.867","2.411"
"9217-52136-18-8","30","1.674","2.147"
"9217-52136-18-8","","",""
"9217-52136-18-8","","",""
"9217-52136-18-8","","",""
"9221-52136-15-4","20","1.931","2.441"
"9221-52136-15-4","30","1.588","2.026"
"9221-52136-15-4","40","1.355","1.744"
"9221-52136-15-4","","",""
"9221-52136-15-4","","",""
"9221-52136-15-4","","",""
"9224-52136-17-3","25","1.732","2.233"
"9224-52136-17-3","30","1.574","2.031"
"9224-52136-17-3","35","1.438","1.864"
"9224-52136-17-3","","",""
"9224-52136-17-3","","",""
"9224-52136-17-3","","",""
"9226-52136-17-3","20","2.529","3.197"
"9226-52136-17-3","25","2.245","2.851"
"9226-52136-17-3","30","2.009","2.564"
"9226-52136-17-3","","",""
"9226-52136-17-3","","",""
"9226-52136-17-3","","",""
"9227-52136-17-3","20","1.995","2.542"
"9227-52136-17-3","30","1.632","2.101"
"9227-52136-17-3","40","1.333","1.741"
"9227-52136-17-3","","",""
"9227-52136-17-3","","",""
"9227-52136-17-3","","",""
"9230-52136-16-3","10",".519",".726"
"9230-52136-16-3","15",".487",".685"
"9230-52136-16-3","20",".42",".594"
"9230-52136-16-3","","",""
"9230-52136-16-3","","",""
"9230-52136-16-3","","",""
"9233-52136-2015-3","20","1.674","2.148"
"9233-52136-2015-3","30","1.403","1.817"
"9233-52136-2015-3","40","1.165","1.527"
"9233-52136-2015-3","","",""
"9233-52136-2015-3","","",""
"9233-52136-2015-3","","",""
"9234-52136-17-15","20","2.371","2.985"
"9234-52136-17-15","30","1.934","2.462"
"9234-52136-17-15","40","1.609","2.062"
"9234-52136-17-15","","",""
"9234-52136-17-15","","",""
"9234-52136-17-15","","",""
"9238-52136-17-3","20",".663",".89"
"9238-52136-17-3","30",".586",".795"
"9238-52136-17-3","40",".522",".717"
"9238-52136-17-3","","",""
"9238-52136-17-3","","",""
"9238-52136-17-3","","",""
"9238-52136-17-7","20",".6",".815"
"9238-52136-17-7","30",".525",".722"
"9238-52136-17-7","40",".461",".641"
"9238-52136-17-7","","",""
"9238-52136-17-7","","",""
"9238-52136-17-7","","",""
"9248-52136-17-11","15",".972","1.298"
"9248-52136-17-11","20",".886","1.19"
"9248-52136-17-11","25",".816","1.102"
"9248-52136-17-11","","",""
"9248-52136-17-11","","",""
"9248-52136-17-11","","",""
"9248-52136-17-15","15",".697",".95"
"9248-52136-17-15","20",".651",".895"
"9248-52136-17-15","25",".606",".837"
"9248-52136-17-15","","",""
"9248-52136-17-15","","",""
"9248-52136-17-15","","",""
"9248-52136-17-3","20",".981","1.307"
"9248-52136-17-3","25",".893","1.197"
"9248-52136-17-3","30",".815","1.097"
"9248-52136-17-3","","",""
"9248-52136-17-3","","",""
"9248-52136-17-3","","",""
"9248-52136-17-7","20","1.076","1.424"
"9248-52136-17-7","30",".917","1.226"
"9248-52136-17-7","40",".781","1.056"
"9248-52136-17-7","","",""
"9248-52136-17-7","","",""
"9248-52136-17-7","","",""
"9253-52136-17-4","20","2.461","3.084"
"9253-52136-17-4","30","1.972","2.501"
"9253-52136-17-4","40","1.64","2.093"
"9253-52136-17-4","","",""
"9253-52136-17-4","","",""
"9253-52136-17-4","","",""
"9255-52136-17-10","10",".624",".723"
"9255-52136-17-10","15",".589",".819"
"9255-52136-17-10","20",".554",".775"
"9255-52136-17-10","","",""
"9255-52136-17-10","","",""
"9255-52136-17-10","","",""
"9255-52136-17-3","10",".674",".922"
"9255-52136-17-3","15",".635",".876"
"9255-52136-17-3","20",".599",".83"
"9255-52136-17-3","","",""
"9255-52136-17-3","","",""
"9255-52136-17-3","","",""
"9259-52136-16-8","20","2.846","3.56"
"9259-52136-16-8","30","2.203","2.781"
"9259-52136-16-8","40","1.744","2.224"
"9259-52136-16-8","","",""
"9259-52136-16-8","","",""
"9259-52136-16-8","","",""
"9276-52136-17-3","20","2.194","2.752"
"9276-52136-17-3","30","1.808","2.292"
"9276-52136-17-3","40","1.503","1.921"
"9276-52136-17-3","","",""
"9276-52136-17-3","","",""
"9276-52136-17-3","","",""
"9279-52136-18-3","10","2.771","3.494"
"9279-52136-18-3","15","2.457","3.114"
"9279-52136-18-3","20","2.153","2.742"
"9279-52136-18-3","","",""
"9279-52136-18-3","","",""
"9279-52136-18-3","","",""
"9280-52136-17-3","20","2.685","3.345"
"9280-52136-17-3","30","2.19","2.753"
"9280-52136-17-3","40","1.798","2.281"
"9280-52136-17-3","","",""
"9280-52136-17-3","","",""
"9280-52136-17-3","","",""
"9284-52136-2016-3","20","2.736","3.448"
"9284-52136-2016-3","30","2.164","2.753"
"9284-52136-2016-3","40","1.822","2.339"
"9284-52136-2016-3","","",""
"9284-52136-2016-3","","",""
"9284-52136-2016-3","","",""
"9292-52136-17-3","20","2.188","2.778"
"9292-52136-17-3","30","1.8","2.297"
"9292-52136-17-3","40","1.531","2.164"
"9292-52136-17-3","","",""
"9292-52136-17-3","","",""
"9292-52136-17-3","","",""
"9299-52136-17-3","20",".638",".858"
"9299-52136-17-3","30",".551",".748"
"9299-52136-17-3","40",".482",".661"
"9299-52136-17-3","","",""
"9299-52136-17-3","","",""
"9299-52136-17-3","","",""
"9299-52136-17-7","20",".582",".798"
"9299-52136-17-7","30",".507",".703"
"9299-52136-17-7","40",".447",".626"
"9299-52136-17-7","","",""
"9299-52136-17-7","","",""
"9299-52136-17-7","","",""
"9300-52136-17-3","20","1.996","2.54"
"9300-52136-17-3","30","1.624","2.076"
"9300-52136-17-3","40","1.341","1.76"
"9300-52136-17-3","","",""
"9300-52136-17-3","","",""
"9300-52136-17-3","","",""
"9311-52136-17-3","20",".504",".704"
"9311-52136-17-3","25",".476",".669"
"9311-52136-17-3","30",".446",".631"
"9311-52136-17-3","","",""
"9311-52136-17-3","","",""
"9311-52136-17-3","","",""
"9315-52136-15-3","10",".687",".926"
"9315-52136-15-3","20",".594",".812"
"9315-52136-15-3","30",".517",".712"
"9315-52136-15-3","","",""
"9315-52136-15-3","","",""
"9315-52136-15-3","","",""
"9316-52136-15-3","20","1.034","1.359"
"9316-52136-15-3","30",".881","1.168"
"9316-52136-15-3","35",".816","1.087"
"9316-52136-15-3","","",""
"9316-52136-15-3","","",""
"9316-52136-15-3","","",""
"9316-52136-17-3","20","1.472","1.913"
"9316-52136-17-3","30","1.253","1.639"
"9316-52136-17-3","40","1.054","1.393"
"9316-52136-17-3","","",""
"9316-52136-17-3","","",""
"9316-52136-17-3","","",""
"9317-52136-15-3","20",".773","1.032"
"9317-52136-15-3","30",".659",".889"
"9317-52136-15-3","40",".582",".794"
"9317-52136-15-3","","",""
"9317-52136-15-3","","",""
"9317-52136-15-3","","",""
"9326-52136-15-2","20","1.979","2.455"
"9326-52136-15-2","30","1.618","2.025"
"9326-52136-15-2","40","1.333","1.687"
"9326-52136-15-2","","",""
"9326-52136-15-2","","",""
"9326-52136-15-2","","",""
"9328-52136-15-3","20","1.474","1.911"
"9328-52136-15-3","30","1.257","1.637"
"9328-52136-15-3","40","1.077","1.416"
"9328-52136-15-3","","",""
"9328-52136-15-3","","",""
"9328-52136-15-3","","",""
"9329-52136-15-3","20",".586",".797"
"9329-52136-15-3","30",".518",".714"
"9329-52136-15-3","35",".49",".677"
"9329-52136-15-3","","",""
"9329-52136-15-3","","",""
"9329-52136-15-3","","",""
"9331-52136-17-3","20","1.178","1.542"
"9331-52136-17-3","30","1.02","1.35"
"9331-52136-17-3","40",".894","1.287"
"9331-52136-17-3","","",""
"9331-52136-17-3","","",""
"9331-52136-17-3","","",""
"9332-52136-17-3","20","1.707","2.198"
"9332-52136-17-3","30","1.44","1.873"
"9332-52136-17-3","40","1.202","1.579"
"9332-52136-17-3","","",""
"9332-52136-17-3","","",""
"9332-52136-17-3","","",""
"9333-52136-17-3","20","1.207","1.686"
"9333-52136-17-3","25","1.114","1.583"
"9333-52136-17-3","30","1.028","1.515"
"9333-52136-17-3","","",""
"9333-52136-17-3","","",""
"9333-52136-17-3","","",""
"9334-52136-17-3","20","1.759","2.262"
"9334-52136-17-3","30","1.446","1.878"
"9334-52136-17-3","40","1.227","1.61"
"9334-52136-17-3","","",""
"9334-52136-17-3","","",""
"9334-52136-17-3","","",""
"9338-52136-18-11","20",".684",".933"
"9338-52136-18-11","30",".599",".826"
"9338-52136-18-11","40",".507",".707"
"9338-52136-18-11","","",""
"9338-52136-18-11","","",""
"9338-52136-18-11","","",""
"9338-52136-18-15","15",".587",".81"
"9338-52136-18-15","20",".549",".763"
"9338-52136-18-15","25",".516",".722"
"9338-52136-18-15","","",""
"9338-52136-18-15","","",""
"9338-52136-18-15","","",""
"9338-52136-18-3","20",".62",".853"
"9338-52136-18-3","30",".544",".757"
"9338-52136-18-3","40",".46",".647"
"9338-52136-18-3","","",""
"9338-52136-18-3","","",""
"9338-52136-18-3","","",""
"9338-52136-18-7","20",".634",".869"
"9338-52136-18-7","30",".555",".77"
"9338-52136-18-7","40",".469",".657"
"9338-52136-18-7","","",""
"9338-52136-18-7","","",""
"9338-52136-18-7","","",""
"9349-52136-18-15","20","2340","2.93"
"9349-52136-18-15","30","1.895","2.395"
"9349-52136-18-15","35","1.711","2.173"
"9349-52136-18-15","","",""
"9349-52136-18-15","","",""
"9349-52136-18-15","","",""
"9374-52136-17-11","20",".719",".976"
"9374-52136-17-11","25",".662",".903"
"9374-52136-17-11","30",".622",".853"
"9374-52136-17-11","","",""
"9374-52136-17-11","","",""
"9374-52136-17-11","","",""
"9374-52136-17-3","20",".629",".858"
"9374-52136-17-3","25",".583",".8"
"9374-52136-17-3","30",".545",".752"
"9374-52136-17-3","","",""
"9374-52136-17-3","","",""
"9374-52136-17-3","","",""
"9374-52136-17-7","20",".482",".663"
"9374-52136-17-7","30",".422",".588"
"9374-52136-17-7","40",".375",".529"
"9374-52136-17-7","","",""
"9374-52136-17-7","","",""
"9374-52136-17-7","","",""
"9391-52136-2017-3","20","4.001","5.014"
"9391-52136-2017-3","30","2.98","3.706"
"9391-52136-2017-3","40","2.412","3.024"
"9391-52136-2017-3","","",""
"9391-52136-2017-3","","",""
"9391-52136-2017-3","","",""
"9418-52136-17-3","15","1.982","2.528"
"9418-52136-17-3","20","1.767","2.264"
"9418-52136-17-3","30","1.473","1.915"
"9418-52136-17-3","","",""
"9418-52136-17-3","","",""
"9418-52136-17-3","","",""
"9426-52136-17-3","20","2.847","3.579"
"9426-52136-17-3","30","2.298","2.919"
"9426-52136-17-3","40","1.872","2.4"
"9426-52136-17-3","","",""
"9426-52136-17-3","","",""
"9426-52136-17-3","","",""
"9448-52136-17-11","20",".998","1.326"
"9448-52136-17-11","30",".845","1.134"
"9448-52136-17-11","40",".73",".991"
"9448-52136-17-11","","",""
"9448-52136-17-11","","",""
"9448-52136-17-11","","",""
"9448-52136-17-3","20","1.024","1.354"
"9448-52136-17-3","25",".937","1.245"
"9448-52136-17-3","30",".87","1.163"
"9448-52136-17-3","","",""
"9448-52136-17-3","","",""
"9448-52136-17-3","","",""
"9448-52136-17-7","20","1.021","1.349"
"9448-52136-17-7","30",".85","1.134"
"9448-52136-17-7","40",".7",".943"
"9448-52136-17-7","","",""
"9448-52136-17-7","","",""
"9448-52136-17-7","","",""
"9458-52136-17-3","20","4.816","5.888"
"9458-52136-17-3","30","3.794","4.684"
"9458-52136-17-3","40","2.918","3.654"
"9458-52136-17-3","","",""
"9458-52136-17-3","","",""
"9458-52136-17-3","","",""
"9465-52136-17-3","20","1.799","2.304"
"9465-52136-17-3","30","1.492","1.933"
"9465-52136-17-3","40","1.265","1.65"
"9465-52136-17-3","","",""
"9465-52136-17-3","","",""
"9465-52136-17-3","","",""
"A723311:F49298","15","1.57","2.08"
"A723311:F49298","20","1.44","1.92"
"A723311:F49298","25","1.33","1.78"
"A723311:F49298","30","1.24","1.67"
"A723311:F49298","40","1.05","1.44"
"A723311:F49298","50",".93","1.29"
"B208855-CQ1546","15","4.097","4.96"
"B208855-CQ1546","20","3.606","4.386"
"B208855-CQ1546","25","3.198","3.908"
"B208855-CQ1546","30","2.84","3.486"
"B208855-CQ1546","40","2.324","2.88"
"B208855-CQ1546","50","1.915","2.396"
"B336431-GI5482","15","1.424","1.781"
"B336431-GI5482","20","1.305","1.641"
"B336431-GI5482","25","1.202","1.518"
"B336431-GI5482","30","1.111","1.41"
"B336431-GI5482","40",".953","1.223"
"B336431-GI5482","50",".836","1.084"
"B403003-IL3075","15","3.958","4.757"
"B403003-IL3075","20","3.488","4.21"
"B403003-IL3075","25","3.096","3.754"
"B403003-IL3075","30","2.76","3.362"
"B403003-IL3075","40","2.242","2.757"
"B403003-IL3075","50","1.867","2.317"
"B406703-IN7939","15","3.69","4.471"
"B406703-IN7939","20","3.208","3.905"
"B406703-IN7939","25","2.814","3.441"
"B406703-IN7939","30","2.465","3.028"
"B406703-IN7939","40","2.008","2.49"
"B406703-IN7939","50","1.617","2.025"
"B408349-IP1052","15","5.267","6.427"
"B408349-IP1052","20","4.538","5.562"
"B408349-IP1052","25","3.947","4.86"
"B408349-IP1052","30","3.457","4.277"
"B408349-IP1052","40","2.708","3.383"
"B408349-IP1052","50","2.202","2.778"
"B417577-IX7464","15","4.698","5.707"
"B417577-IX7464","20","4.099","5.001"
"B417577-IX7464","25","3.605","4.42"
"B417577-IX7464","30","3.188","3.927"
"B417577-IX7464","40","2.549","3.169"
"B417577-IX7464","50","2.098","2.634"
"B436173-JO1421","15","2.586","3.151"
"B436173-JO1421","20","2.328","2.85"
"B436173-JO1421","25","2.108","2.593"
"B436173-JO1421","30","1.903","2.352"
"B436173-JO1421","40","1.626","2.029"
"B436173-JO1421","50","1.367","1.722"
"B436173-JO1423","15","2.286","2.806"
"B436173-JO1423","20","2.083","2.568"
"B436173-JO1423","25","1.906","2.362"
"B436173-JO1423","30","1.761","2.192"
"B436173-JO1423","40","1.475","1.854"
"B436173-JO1423","50","1.304","1.655"
"B436277-JO1814","15",".769","1.01"
"B436277-JO1814","20",".703",".929"
"B436277-JO1814","25",".665",".883"
"B436277-JO1814","35",".581",".776"
"B436277-JO1814","40",".542",".732"
"B436277-JO1814","45",".509",".692"
"B439438-JP9721","15",".521",".717"
"B439438-JP9721","20",".494",".683"
"B439438-JP9721","25",".469",".652"
"B439438-JP9721","30",".445",".623"
"B439438-JP9721","40",".402",".57"
"B439438-JP9721","50",".367",".527"
"B439438-JP9722","15",".555",".759"
"B439438-JP9722","20",".524",".721"
"B439438-JP9722","25",".496",".686"
"B439438-JP9722","30",".469",".652"
"B439438-JP9722","40",".425",".598"
"B439438-JP9722","50",".383",".546"
"B440581-JQ6084","15",".535",".737"
"B440581-JQ6084","20",".506",".701"
"B440581-JQ6084","25",".481",".67"
"B440581-JQ6084","30",".455",".639"
"B440581-JQ6084","35",".434",".612"
"B440581-JQ6084","40",".413",".586"
"B440619-JQ6271","15",".562",".78"
"B440619-JQ6271","20",".512",".715"
"B440619-JQ6271","25",".473",".664"
"B440619-JQ6271","30",".436",".616"
"B440619-JQ6271","35",".403",".572"
"B440619-JQ6271","40",".372",".532"
"B440721-JQ9460","15",".566",".777"
"B440721-JQ9460","20",".534",".738"
"B440721-JQ9460","25",".504",".7"
"B440721-JQ9460","30",".473",".662"
"B440721-JQ9460","35",".452",".635"
"B440721-JQ9460","40",".43",".608"
"B448153-JU9365","15","4.722","5.662"
"B448153-JU9365","20","4.111","4.952"
"B448153-JU9365","25","3.611","4.369"
"B448153-JU9365","30","3.177","3.862"
"B448153-JU9365","40","2.559","3.139"
"B448153-JU9365","50","2.083","2.579"
"B448153-JU9367","15","3.363","4.058"
"B448153-JU9367","20","3.015","3.655"
"B448153-JU9367","25","2.719","3.311"
"B448153-JU9367","30","2.471","3.023"
"B448153-JU9367","40","2.033","2.511"
"B448153-JU9367","50","1.749","2.181"
"B448153-JU9369","15","4.276","5.138"
"B448153-JU9369","20","3.748","4.523"
"B448153-JU9369","25","3.311","4.014"
"B448153-JU9369","30","2.932","3.571"
"B448153-JU9369","40","2.378","2.923"
"B448153-JU9369","50","1.955","2.426"
"B448153-JU9370","15","3.723","4.51"
"B448153-JU9370","20","3.331","4.054"
"B448153-JU9370","25","2.998","3.665"
"B448153-JU9370","30","2.722","3.343"
"B448153-JU9370","40","2.226","2.759"
"B448153-JU9370","50","1.913","2.395"
"B451220-JW7352","15","2.907","3.552"
"B451220-JW7352","20","2.609","3.203"
