"OIL_DIST FILE"
"Oil_lab_num","Fractn_distlld_vol","Distlltn_temp (C)"
"0594-52134-2021-3","",""
"0594-52134-2021-3","",""
"0594-52134-2021-3","",""
"0594-52134-2021-3","",""
"0594-52134-2021-6","",""
"0594-52134-2021-6","",""
"0594-52134-2021-6","",""
"0594-52134-2021-6","",""
"0594-52134-2021-6","",""
"0594-52134-2021-6","",""
"0594-52134-2021-6","",""
"0594-52134-2021-6","",""
"0594-52134-2021-6","",""
"0594-52134-2021-6","",""
"0594-52134-2021-6","",""
"0594-52134-2021-6","",""
"0594-52134-2021-6","",""
"0594-52134-2021-6","",""
"0594-52134-2021-6","",""
"0594-52134-2021-6","",""
"0594-52134-2021-6","",""
"0594-52134-2021-6","",""
"0594-52134-2021-6","",""
"0594-52134-2021-6","",""
"05OF122989A","0",""
"05OF122989A",".05","70.5"
"05OF122989A",".1","85.6"
"05OF122989A",".15","97.8"
"05OF122989A",".2","107.9"
"05OF122989A",".25","119"
"05OF122989A",".3","129.1"
"05OF122989A",".35","143.2"
"05OF122989A",".4","155.4"
"05OF122989A",".45","173.5"
"05OF122989A",".5","193.7"
"05OF122989A",".55","219"
"05OF122989A",".6","243.2"
"05OF122989A",".65","273.6"
"05OF122989A",".7","303.9"
"05OF122989A",".75","334.2"
"05OG109451A",".05","108.3"
"05OG109451A",".1","114.3"
"05OG109451A",".15","119.4"
"05OG109451A",".2","125.4"
"05OG109451A",".25","131.5"
"05OG109451A",".3","136.6"
"05OG109451A",".35","143.7"
"05OG109451A",".4","150.7"
"05OG109451A",".45","159.8"
"05OG109451A",".5","166.9"
"05OG109451A",".55","175"
"05OG109451A",".6","184.1"
"05OG109451A",".65","192.2"
"05OG109451A",".7","200.3"
"05OG109451A",".75","210.4"
"05OG109451A",".8","220.5"
"05OG109451A",".85","230.6"
"05OG109451A",".9","245.8"
"05OG109451A",".95","266"
"05OG109451A","1",""
"05OG146010A",".05","91.6"
"05OG146010A",".1","103.8"
"05OG146010A",".15","110.8"
"05OG146010A",".2","116.9"
"05OG146010A",".25","122.9"
"05OG146010A",".3","129"
"05OG146010A",".35","135.1"
"05OG146010A",".4","141.1"
"05OG146010A",".45","147.2"
"05OG146010A",".5","153.2"
"05OG146010A",".55","161.3"
"05OG146010A",".6","170.4"
"05OG146010A",".65","182.5"
"05OG146010A",".7","200.7"
"05OG146010A",".75","225"
"05OG146010A",".8","254.2"
"05OG146010A",".85","275.5"
"05OG146010A",".9","290.6"
"05OG146010A",".95","306.8"
"05OG146010A","1",""
"0604-52137-2020-2","",""
"0604-52137-2020-2","",""
"0604-52137-2020-2","",""
"0604-52137-2020-2","",""
"0604-52137-2020-2","",""
"0604-52137-2020-2","",""
"0604-52137-2020-2","",""
"0604-52137-2020-2","",""
