"F_OPERATOR FILE"
"Fac Id Code","Oper Id","Fac Oper Eff Period","Fac Oper Term Period"
"00000263","00648","200804","200912"
"00000263","00769","200912","201310"
"00000263","00988","201310","201712"
"00000263","01018","201712",""
"00000263","07576","200804","200804"
"00000264","00648","198904","202001"
"00000264","00819","202001","202006"
"00000264","02011","202006",""
"00000265","00648","200704","200804"
"00000265","00648","200804","200912"
"00000265","00769","200912","201310"
"00000265","00988","201310","201712"
"00000265","01018","201712",""
"00000265","07576","200804","200804"
"00000266","00648","200611","200804"
"00000266","00648","200804","200912"
"00000266","00769","200912","201805"
"00000266","00996","201805","201910"
"00000266","00996","201910",""
"00000266","07576","200804","200804"
"00000267","00665","198904","199612"
"00000267","00691","200207","201212"
"00000267","00691","201212","201811"
"00000267","00691","201811",""
"00000267","00696","200207","200207"
"00000267","00706","201212","201212"
"00000267","00763","199612","200207"
"00000268","00237","201903",""
"00000268","00665","200804","201001"
"00000268","00826","201705","201903"
"00000268","07577","198707","200804"
"00000268","08193","201001","201705"
"00000269","00416","202008",""
"00000269","00665","200804","201008"
"00000269","00826","201705","202008"
"00000269","07577","198711","200804"
"00000269","08193","201008","201705"
"00000270","00428","202111",""
"00000270","00606","200604","202111"
"00000270","00666","198904","200604"
"00000271","00237","198609",""
"00000272","00237","197312",""
"00000273","00237","200603",""
"00000274","00127","201604","202002"
"00000274","00237","202002",""
"00000274","00469","198904","199605"
"00000274","00862","199605","199910"
"00000274","08163","199910","201604"
"00000275","00237","200512",""
"00000275","00766","198312","200512"
"00000276","00047","201102",""
"00000276","00790","197809","198911"
"00000276","00850","198911","199706"
"00000276","07014","200412","201102"
"00000276","07888","200111","200412"
"00000276","07927","199706","200111"
"00000277","00083","199107","199705"
"00000277","00237","199809",""
"00000277","00682","199705","199809"
"00000278","00083","199107","201910"
"00000278","00237","201910",""
"00000279","00083","199107","199704"
"00000279","00237","199704",""
"00000280","00083","199107",""
"00000281","00237","200101",""
"00000282","00047","201102",""
"00000282","07014","196510","201102"
"00000283","00237","199404",""
"00000284","00364","202005","202108"
"00000284","00530","202108",""
"00000284","00881","200507","201105"
"00000284","00953","201105","201911"
"00000284","01008","201911","202005"
"00000284","08029","197509","200507"
"00000285","00237","201911",""
"00000285","00905","198904","201911"
"00000286","00237","199311",""
"00000287","00616","201405","201406"
"00000287","01004","201406","201411"
"00000287","01005","201411","201905"
"00000287","01005","201905",""
"00000287","07019","201208","201405"
"00000288","00092","201405",""
"00000288","00440","200610","201405"
"00000289","00010","201110","201202"
"00000289","00528","201202","201903"
"00000289","00619","200207","201110"
"00000289","00761","199904","200002"
"00000289","00911","199807","199904"
"00000289","02011","201903",""
"00000289","07612","200002","200207"
"00000290","00619","199912",""
"00000290","00905","198904","199912"
"00000291","00114","199609","199909"
"00000291","00142","200912","201012"
"00000291","00142","201306","201702"
"00000291","00300","201012","201302"
"00000291","00818","201702",""
"00000291","00835","201302","201306"
"00000291","00911","198904","199609"
"00000291","08203","199909","200912"
"00000292","00237","201910",""
"00000292","00440","198711","201910"
"00000293","00045","198901","201106"
"00000293","01001","201408",""
"00000293","08163","201106","201408"
"00000294","01001","201408",""
"00000294","08163","200408","201408"
"00000295","00648","199909","200804"
"00000295","00648","200804","200912"
"00000295","00769","200912","201310"
"00000295","00988","201310","201712"
"00000295","01018","201712",""
"00000295","07576","200804","200804"
"00000296","00010","200805","201203"
"00000296","00237","201203",""
"00000297","00010","200911","201610"
"00000297","00066","199707","199907"
"00000297","00285","199107","199707"
"00000297","00619","199907","200911"
"00000297","00816","201611","202202"
