Well Authorization Number,Completion Event Sequence,UWI,Zone Prod Period,Area Code,Formtn Code,Well Area Name,Oper Abbreviation,Production Days,Gas Production (e3m3),Oil Production (m3),Condensate Production (m3),Water Production (m3),Marketable Gas Volume (e3m3),Ethane Sales Volume (m3),Propane Sales Volume (m3),Butane Sales Volume (m3),Pentane Sales Volume (m3)
06449,00,200C077C094H0600,202202,8260,2700,WARGEN,CNRL,27,41.6,0,1.2,.8,,,,,
29488,00,200D046D094G0800,202202,9022,5000,BEG,PETRONAS,18,41,0,.8,2.8,,,,,
29998,00,200B042A094B0800,202202,9022,5000,ALTARES,PACIFIC CANBRIAM,20.9,1358,0,0,80.8,,,,,
17863,00,200C025F094G0800,202202,2240,4150,N BUBBLES,PETRONAS,28,83.4,0,1.3,4.9,,,,,
22915,00,100132607917W600,202202,9021,5000,SUNRISE,OVV,27.5,118.8,0,0,4.8,,,,,
10810,00,200B061J094H1600,202202,7660,4990,RING,CNRL,28,8.8,0,0,.2,,,,,
30308,02,200A091D094H0502,202202,9022,5000,LAPRISE,TOURMALINE,28,1298.5,0,177.1,24.9,,,,,
10142,00,200A012J094H0500,202202,1350,4100,BLACK,TOURMALINE,27,84,0,4.4,3,,,,,
06349,00,100022908513W600,202203,2000,4535,BOUNDARY,ENERCAPITA,31,.9,136.7,0,81.5,,,,,
30652,00,103112607818W600,202202,9021,5000,SUNRISE,ARCRES,27.8,2043.1,0,0,94.4,,,,,
26982,00,100051008017W600,202202,9021,5000,SUNRISE,OVV,1.1,.4,0,0,.2,,,,,
25964,00,200D006J094B1600,202202,9022,5000,TOWN,PETRONAS,25,505.5,0,11.9,16.7,,,,,
14703,00,200C058H094I0800,202202,1300,8200,BIVOUAC,CVE ENERGY,14.5,59.8,0,0,0,,,,,
31243,00,102131708015W600,202202,9021,5000,DOE,TOURMALINE,28,431.9,0,0,46.4,,,,,
21759,00,200B004J094P0400,202202,4470,8200,GUNNELL,NTE CANADA,28,101.5,0,3.2,3.3,,,,,
14346,00,200D020F094H1600,202202,7660,4990,RING,CNRL,28,67.6,0,0,1.3,,,,,
28797,00,200C023F093P0900,202202,9021,5000,SWAN,OVV,28,726.5,0,.6,.6,,,,,
04716,00,100080208519W600,202202,3445,6200,W EAGLE,CNRL,28,5.4,30.1,0,8.5,,,,,
27180,00,100080607714W600,202202,9021,5000,SWAN,OVV,28,2674.5,0,13.7,115.9,,,,,
